Title and feature,Price (fcfa),Marque,Delivery price,Rating,Delivery to,Picture,Link
Generic Montre unisex Digital - bracelet métal - magnétique - Arg,2700,Generic,550 FCFA,3.4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/67/58206/1.jpg?2837,https://www.jumia.sn/generic-montre-unisex-digital-bracelet-metal-magnetique-arg-6028576.html
Tecno Spark 7P - 6.8" - ROM 64Go - RAM 4Go - Caméra arrière 16MP Camera Front 8MP - 5000mAh - Bleu,73900,Tecno,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/81288/1.jpg?8453,https://www.jumia.sn/tecno-spark-7p-6.8-rom-64go-ram-4go-camera-arriere-16mp-camera-front-8mp-5000mah-bleu-8821868.html
Tecno POP 3 - Ecran 5.7’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - Batterie 3500mAh - Empreinte Digitale - Noir,42900,Tecno,550 FCFA,4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/67/47795/1.jpg?0754,https://www.jumia.sn/tecno-pop-3-ecran-5.7-double-sim-rom-16-go-ram-1-go-camera-85-mp-batterie-3500mah-empreinte-digitale-noir-5977476.html
Invens Max15 – Mémoire 16 Go – RAM 2 Go – Photo 8 Mp – Ecran 6.2″- Vert,33000,Invens,550 FCFA,5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/75/56019/1.jpg?4937,https://www.jumia.sn/invens-max15-memoire-16-go-ram-2-go-photo-8-mp-ecran-6.2-vert-9106557.html
Tecno Spark 5 Pro – Ecran 6.6″ – ROM 128Go – RAM 4Go – Caméra 16MP - Batterie 5000mAh - Vert,68900,Tecno,550 FCFA,4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/55/97795/1.jpg?3249,https://www.jumia.sn/tecno-spark-5-pro-ecran-6.6-rom-128go-ram-4go-camera-16mp-batterie-5000mah-vert-5977955.html
Infinix HOT 10  4G - Ecran 6.7"- ROM 64Go - RAM 3Go Camera avant 16MP - 5200 mAh - Noir + Paquet cadeau contenant Mug et Parasol offert,95000,Infinix,550 FCFA,4.7/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/74/94895/1.jpg?1451,https://www.jumia.sn/infinix-hot-10-4g-ecran-6.7-rom-64go-ram-3go-camera-avant-16mp-5200-mah-noir-paquet-cadeau-contenant-mug-et-parasol-offert-5984947.html
Invens InvensH3-Ecran5"-DoubleSIM-3G - ROM 16GB - RAM 2GB - Camera 5/5MP- Violet,24900,Invens,550 FCFA,3.1/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/70/76016/1.jpg?8458,https://www.jumia.sn/invens-invensh3-ecran5-doublesim-3g-rom-16gb-ram-2gb-camera-55mp-violet-6106707.html
TCL 20SE -128 GB + 4 GB - 6.82" - Quadruple Caméra 48MP+5+2+2 - 5000 mAh - Noir + Kit Cadeau offert,100000,TCL,550 FCFA,4.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/47/04888/1.jpg?3867,https://www.jumia.sn/tcl-20se-128-gb-4-gb-6.82-quadruple-camera-48mp522-5000-mah-noir-kit-cadeau-offert-8884074.html
Alcatel 1SE - 32GB Rom + 2 GB Ram - 6.22" - 4000 mAh - Bleu,51900,Alcatel,550 FCFA,4.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/26906/1.jpg?8195,https://www.jumia.sn/alcatel-1se-32gb-rom-2-gb-ram-6.22-4000-mah-bleu-6096232.html
Tecno Pop 5 – Écran 6.1″ – ROM 16GB – RAM 1GB – Caméra 5/5MP  –  4000 mAh - Noir,61000,Tecno,550 FCFA,2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/01229/1.jpg?5264,https://www.jumia.sn/tecno-pop-5-ecran-6.1-rom-16gb-ram-1gb-camera-55mp-4000-mah-noir-9221021.html
